goos: linux
goarch: amd64
pkg: github.com/0xsimulacra/int256
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz (OC ~ 3.7-4.4GHz)
BenchmarkAdd/positive_positive/int256-16         	361720863	         3.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/int256-16         	377741596	         3.162 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/int256-16         	378074054	         3.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/int256-16         	375130261	         3.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/int256-16         	378267194	         3.205 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/big-16            	78835116	        14.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/big-16            	79174060	        14.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/big-16            	82593228	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/big-16            	73619125	        14.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_positive/big-16            	80159629	        14.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/int256-16         	192396860	         6.221 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/int256-16         	192734094	         6.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/int256-16         	192866415	         6.215 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/int256-16         	192451752	         6.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/int256-16         	193093060	         6.334 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/big-16            	81780430	        13.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/big-16            	88826571	        12.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/big-16            	82783414	        12.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/big-16            	89277357	        13.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/positive_negative/big-16            	86788076	        12.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/int256-16         	197304844	         6.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/int256-16         	196173976	         6.068 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/int256-16         	197499751	         6.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/int256-16         	197040124	         6.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/int256-16         	195720579	         6.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/big-16            	85520379	        12.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/big-16            	85953420	        12.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/big-16            	81300465	        12.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/big-16            	83480594	        13.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_positive/big-16            	87920989	        12.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/int256-16         	373122332	         3.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/int256-16         	376385684	         3.169 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/int256-16         	378147051	         3.170 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/int256-16         	374688982	         3.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/int256-16         	376419024	         3.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/big-16            	80369344	        14.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/big-16            	74449353	        14.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/big-16            	78334989	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/big-16            	78482020	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdd/negative_negative/big-16            	72919962	        14.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/int256-16         	236709362	         5.053 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/int256-16         	234232990	         5.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/int256-16         	234310975	         5.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/int256-16         	235782129	         5.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/int256-16         	235601644	         5.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/big-16            	93785476	        11.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/big-16            	99036718	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/big-16            	96858679	        11.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/big-16            	97658029	        11.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_positive/big-16            	97839444	        11.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/int256-16         	364550283	         3.161 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/int256-16         	375469424	         3.175 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/int256-16         	373128682	         3.296 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/int256-16         	348984307	         3.163 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/int256-16         	377899016	         3.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/big-16            	79234948	        14.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/big-16            	79312508	        14.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/big-16            	78616357	        14.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/big-16            	81009505	        14.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/positive_negative/big-16            	74162344	        14.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/int256-16         	381910521	         3.164 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/int256-16         	378508375	         3.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/int256-16         	378617395	         3.176 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/int256-16         	373242643	         3.172 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/int256-16         	379194938	         3.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/big-16            	78199100	        14.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/big-16            	75190183	        14.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/big-16            	78847490	        14.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/big-16            	79147083	        14.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_positive/big-16            	74531572	        14.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/int256-16         	249867709	         4.768 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/int256-16         	249860457	         4.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/int256-16         	250286617	         4.863 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/int256-16         	247126096	         4.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/int256-16         	248614251	         4.843 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/big-16            	94435906	        11.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/big-16            	95403506	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/big-16            	91681255	        12.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/big-16            	95671928	        11.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSub/negative_negative/big-16            	95279791	        11.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/int256-16         	166658773	         7.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/int256-16         	157434088	         7.668 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/int256-16         	162418142	         7.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/int256-16         	163515499	         7.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/int256-16         	161761959	         7.253 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/big-16            	29580129	        39.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/big-16            	29363096	        39.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/big-16            	29382745	        39.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/big-16            	29787309	        39.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_positive/big-16            	29941224	        39.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/int256-16         	166408296	         7.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/int256-16         	166114363	         7.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/int256-16         	166229365	         7.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/int256-16         	158143380	         7.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/int256-16         	165542510	         7.214 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/big-16            	28867401	        40.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/big-16            	29375402	        40.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/big-16            	29943778	        39.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/big-16            	29358904	        40.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/positive_negative/big-16            	29364847	        40.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/int256-16         	163642023	         7.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/int256-16         	165389511	         7.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/int256-16         	162659965	         7.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/int256-16         	166958530	         7.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/int256-16         	166284918	         7.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/big-16            	29496508	        39.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/big-16            	29247012	        39.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/big-16            	29843154	        42.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/big-16            	29566209	        39.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_positive/big-16            	29048438	        39.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/int256-16         	165712345	         7.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/int256-16         	163657173	         7.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/int256-16         	165686167	         7.233 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/int256-16         	165816750	         7.239 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/int256-16         	165708045	         7.268 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/big-16            	29688368	        39.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/big-16            	28889235	        40.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/big-16            	28801413	        40.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/big-16            	25264416	        40.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMul/negative_negative/big-16            	28508712	        39.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/int256-16         	23974514	        49.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/int256-16         	24415389	        49.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/int256-16         	23953789	        49.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/int256-16         	24334832	        48.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/int256-16         	24272307	        48.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_positive/big-16            	 8209380	       145.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkQuo/positive_positive/big-16            	 8144919	       146.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkQuo/positive_positive/big-16            	 8183814	       144.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkQuo/positive_positive/big-16            	 8224969	       145.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkQuo/positive_positive/big-16            	 8137256	       144.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkQuo/positive_negative/int256-16         	27190156	        42.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_negative/int256-16         	27542517	        42.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_negative/int256-16         	27685260	        42.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_negative/int256-16         	27682423	        42.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_negative/int256-16         	27075350	        42.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/positive_negative/big-16            	 8987058	       128.9 ns/op	      77 B/op	       1 allocs/op
BenchmarkQuo/positive_negative/big-16            	 9278496	       128.7 ns/op	      77 B/op	       1 allocs/op
BenchmarkQuo/positive_negative/big-16            	 9160134	       128.5 ns/op	      77 B/op	       1 allocs/op
BenchmarkQuo/positive_negative/big-16            	 9282352	       129.1 ns/op	      77 B/op	       1 allocs/op
BenchmarkQuo/positive_negative/big-16            	 9133861	       132.1 ns/op	      77 B/op	       1 allocs/op
BenchmarkQuo/negative_positive/int256-16         	83647568	        13.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_positive/int256-16         	82662504	        13.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_positive/int256-16         	82962439	        13.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_positive/int256-16         	83724897	        13.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_positive/int256-16         	85184002	        14.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_positive/big-16            	19793004	        58.64 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_positive/big-16            	20342301	        57.62 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_positive/big-16            	20335688	        57.93 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_positive/big-16            	20249558	        58.27 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_positive/big-16            	20291985	        58.26 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_negative/int256-16         	83317293	        13.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_negative/int256-16         	83232777	        13.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_negative/int256-16         	83256459	        13.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_negative/int256-16         	82464738	        13.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_negative/int256-16         	84960340	        13.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuo/negative_negative/big-16            	20034117	        58.51 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_negative/big-16            	20237364	        60.12 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_negative/big-16            	20233210	        58.51 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_negative/big-16            	20349936	        60.11 ns/op	      66 B/op	       1 allocs/op
BenchmarkQuo/negative_negative/big-16            	20200382	        58.52 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/positive_positive/int256-16         	22829220	        50.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_positive/int256-16         	23386630	        51.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_positive/int256-16         	23541831	        50.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_positive/int256-16         	23112936	        51.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_positive/int256-16         	23512924	        51.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_positive/big-16            	 7705419	       154.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkDiv/positive_positive/big-16            	 7803855	       153.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkDiv/positive_positive/big-16            	 7777202	       157.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkDiv/positive_positive/big-16            	 7695222	       154.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkDiv/positive_positive/big-16            	 7833338	       154.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkDiv/positive_negative/int256-16         	26516928	        44.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_negative/int256-16         	27160377	        45.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_negative/int256-16         	26830448	        43.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_negative/int256-16         	28296728	        43.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_negative/int256-16         	23911459	        47.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/positive_negative/big-16            	 7574989	       154.4 ns/op	      77 B/op	       1 allocs/op
BenchmarkDiv/positive_negative/big-16            	 8169513	       167.3 ns/op	      77 B/op	       1 allocs/op
BenchmarkDiv/positive_negative/big-16            	 7353703	       162.3 ns/op	      77 B/op	       1 allocs/op
BenchmarkDiv/positive_negative/big-16            	 8298084	       155.9 ns/op	      77 B/op	       1 allocs/op
BenchmarkDiv/positive_negative/big-16            	 7472589	       167.7 ns/op	      77 B/op	       1 allocs/op
BenchmarkDiv/negative_positive/int256-16         	78421490	        15.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_positive/int256-16         	83939011	        13.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_positive/int256-16         	80825671	        13.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_positive/int256-16         	83955994	        14.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_positive/int256-16         	82920865	        14.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_positive/big-16            	14308532	        72.43 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_positive/big-16            	16942371	        74.51 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_positive/big-16            	15432339	        72.82 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_positive/big-16            	16117693	        74.12 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_positive/big-16            	14731630	        74.93 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_negative/int256-16         	84339248	        13.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_negative/int256-16         	89962602	        13.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_negative/int256-16         	86537810	        13.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_negative/int256-16         	88238304	        13.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_negative/int256-16         	89610658	        13.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiv/negative_negative/big-16            	16391679	        71.12 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_negative/big-16            	16842225	        71.28 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_negative/big-16            	16565590	        71.62 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_negative/big-16            	14994487	        72.50 ns/op	      66 B/op	       1 allocs/op
BenchmarkDiv/negative_negative/big-16            	16621880	        70.84 ns/op	      66 B/op	       1 allocs/op
BenchmarkRem/positive_positive/int256-16         	21501805	        53.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_positive/int256-16         	22310965	        55.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_positive/int256-16         	21066906	        55.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_positive/int256-16         	22611120	        53.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_positive/int256-16         	22535846	        54.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_positive/big-16            	 8968839	       131.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRem/positive_positive/big-16            	 9129076	       130.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkRem/positive_positive/big-16            	 9150822	       129.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkRem/positive_positive/big-16            	 9201770	       129.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkRem/positive_positive/big-16            	 9152604	       130.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkRem/positive_negative/int256-16         	26147034	        46.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_negative/int256-16         	25941499	        45.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_negative/int256-16         	25953381	        46.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_negative/int256-16         	26182648	        46.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_negative/int256-16         	26258391	        45.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10579036	       114.8 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10845260	       111.2 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10743949	       111.4 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10721786	       111.2 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/positive_negative/big-16            	10720299	       110.8 ns/op	       6 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	80006223	        14.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	79320456	        14.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	77768595	        14.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	79768701	        14.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/int256-16         	78458540	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34379846	        34.70 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34881406	        34.69 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34669954	        34.92 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	34083446	        35.13 ns/op	       1 B/op	       0 allocs/op
BenchmarkRem/negative_positive/big-16            	32812501	        34.76 ns/op	       1 B/op	       0 allocs/op
